"Polling_District","UPRN"
"AB0",64021557
"AB0",64021558
"AB0",64021559
"AB0",64021560
"AB0",64021561
"AB0",64021562
"AB0",64021563
"AB0",64021564
"AB0",64021565
"AB0",64021566
"AB0",64021567
"AB0",64021568
"AB0",64021569
"AB0",64021570
"AB0",64021571
"AB0",64021572
"AB0",64021573
"AB0",64021574
"AB0",64021575
"AB0",64021576
"AB0",64021577
"AB0",64021578
"AB0",64021579
"AB0",64021580
"AB0",64021581
"AB0",64021582
"AB0",64021583
"AB0",64021584
"AB0",64021585
"AB0",64021586
"AB0",64021587
"AB0",64021588
"AB0",64021589
"AB0",64021590
"AB0",64021591
"AB0",64021592
"AB0",64021593
"AB0",64021594
"AB0",64021595
"AB0",64021596
"AB0",64021597
"AB0",64021598
"AB0",64021599
"AB0",64021600
"AB0",64021601
"AB0",64021602
"AB0",64021603
"AB0",64021604
"AB0",64021605
"AB0",64021606
"AB0",64021607
"AB0",64021608
"AB0",64021609
"AB0",64021610
"AB0",64021611
"AB0",64021612
"AB0",64021615
"AB0",64021616
"AB0",64021617
"AB0",64021618
"AB0",64021619
"AB0",64021620
"AB0",64021622
"AB0",64021623
"AB0",64021624
"AB0",64021625
"AB0",64021626
"AB0",64021627
"AB0",64021628
"AB0",64021629
"AB0",64021630
"AB0",64021655
"AB0",64021656
"AB0",64021659
"AB0",64021660
"AB0",64021661
"AB0",64021662
"AB0",64021663
"AB0",64021665
"AB0",64021667
"AB0",64021668
"AB0",64021670
"AB0",64021671
"AB0",64021672
"AB0",64021675
"AB0",64021676
"AB0",64021677
"AB0",64021678
"AB0",64021679
"AB0",64021682
"AB0",64021683
"AB0",64021684
"AB0",64021685
"AB0",64021686
"AB0",64021687
"AB0",64021688
"AB0",64021689
"AB0",64021690
"AB0",64021691
"AB0",64021692
"AB0",64021693
"AB0",64021694
"AB0",64021695
"AB0",64021696
"AB0",64021697
"AB0",64021698
"AB0",64021699
"AB0",64021700
"AB0",64021701
"AB0",64021702
"AB0",64021703
"AB0",64021704
"AB0",64021705
"AB0",64021706
"AB0",64021707
"AB0",64021708
"AB0",64021709
"AB0",64021710
"AB0",64021711
"AB0",64021712
"AB0",64021713
"AB0",64021714
"AB0",64021715
"AB0",64021716
"AB0",64021717
"AB0",64021718
"AB0",64021719
"AB0",64021720
"AB0",64021721
"AB0",64021722
"AB0",64021723
"AB0",64021724
"AB0",64021725
"AB0",64021726
"AB0",64021728
"AB0",64021729
"AB0",64021730
